question,document
Do I need to restart the Ollama server if the notebook cell with ollama serve was stopped or rerun?,c6fc2d4d11
What's the quickest way to bring Ollama back up when the RAG prompt says connection refused?,c6fc2d4d11
"In the RAG assignment, how can I restart Ollama from the notebook after a server issue?",c6fc2d4d11
"If Ollama stops responding during homework, what command should I run to start the server again?",c6fc2d4d11
Why does `tiktoken.encode()` give me a smaller token count than OpenAI’s API for the same prompt?,bf0403d21b
Where do the extra tokens in `chat.completions.create()` come from?,bf0403d21b
How many hidden tokens does each chat message add in OpenAI’s chat format?,bf0403d21b
Why can OpenAI report a few more tokens even when my visible prompt text is the same?,bf0403d21b
"Could things like newlines, spaces, or weird Unicode make the token count go up a bit?",bf0403d21b
How can I stop re-exporting my API key in every new terminal for an LLM project?,8b2f5e9d04
What’s the easiest way to load an .env file automatically when I cd into a folder?,8b2f5e9d04
"Can I use something like direnv, but with both .env and .envrc files and better shell support?",8b2f5e9d04
"If I’m on GitHub Codespaces, should I still keep my API key in a local .env file?",8b2f5e9d04
"For Python scripts, what’s the simple way to read variables from .env without setting them manually?",8b2f5e9d04
How do I decide on good field weights for minsearch without just guessing?,87d4ea4e08
What's the best way to tune search field weights in a retrieval setup like minsearch?,87d4ea4e08
"Should I pick field weights by trial and error, or is there a proper way to test them?",87d4ea4e08
How can I compare different weight settings for search fields and know which one works better?,87d4ea4e08
"Do I need a labeled dataset to tune field weights, and what metric should I use to check the results?",87d4ea4e08
What’s the best way to clean up documents before using them in RAG?,649c280e6d
"Should I keep things like page numbers, titles, and section headings when preparing data for retrieval?",649c280e6d
"Do I have to convert my documents into JSON for RAG, or can I use another format?",649c280e6d
What kind of chunking works best so related context stays together in RAG?,649c280e6d
"Besides the text itself, what metadata should I save to help with filtering or ranking later?",649c280e6d
"In GitHub Codespaces, why does uv show a “Failed to hardlink files” warning, and should I worry about it?",acf8fa5356
"If uv can’t hardlink between cache and the target environment in Codespaces, does the install still work or does it break?",acf8fa5356
How can I stop uv from showing the hardlink warning just for my current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode in Codespaces instead of hardlinks?,acf8fa5356
Is there a uv setting or env variable I can set so this warning doesn’t keep appearing every time I open a shell?,acf8fa5356
My Python code says dotenv is not recognized — what package am I supposed to install?,0bed1f48da
"How do I fix the ""dotenv"" import error in this RAG module?",0bed1f48da
Do I need to add something to my environment before using load_dotenv()?,0bed1f48da
What's the uv command to install the dotenv dependency?,0bed1f48da
"After installing python-dotenv, how should I import it in Python?",0bed1f48da
Can I do this course on my own laptop instead of using Codespaces?,aa310de435
"Do I have to use Codespaces, or is a local setup okay for the module?",aa310de435
"If I set everything up myself, can I follow the course without Codespaces?",aa310de435
What do I need installed if I want to run the course locally?,aa310de435
Is it fine to use a local environment as long as I can reproduce it later?,aa310de435
"If I keep working in GitHub Codespaces but never commit, where does my code actually live?",610ccb23c0
"Does code in Codespaces stay there automatically, or do I need to push it to GitHub to keep it safe?",610ccb23c0
What happens to my files in Codespaces if the VM stops or the workspace gets deleted?,610ccb23c0
"Is it enough to just save in Codespaces, or should I commit my changes often?",610ccb23c0
Why do people say I should commit regularly when using Codespaces?,610ccb23c0
Why does WSL2 say the model needs more memory than available even though my PC has enough RAM?,f3dd94f323
How do I give WSL2 more RAM so the model can run?,f3dd94f323
Where do I put the .wslconfig file to change WSL2 memory settings?,f3dd94f323
What should I write in .wslconfig to allocate something like 8GB to WSL2?,f3dd94f323
"After changing WSL2 memory, how do I restart it and check that the new RAM limit took effect?",f3dd94f323
"What should I do if my GitHub Codespace won’t reconnect and keeps getting stuck on ""Finishing up""?",830f3d2018
"If my Codespace is not opening, is there a browser workaround before I delete it and make a new one?",830f3d2018
"Why did my setup disappear after restarting or rebuilding a Codespace, and is that normal?",830f3d2018
"Do files in /workspaces survive a stop and start, or can they be wiped when Codespaces is recreated?",830f3d2018
What’s the safest way to avoid losing my work if Codespaces becomes flaky and I have to reset it?,830f3d2018
"Can I use a model provider other than OpenAI for the RAG assignments, or is the course tied to OpenAI only?",c6ff9083c0
"If I switch to something like Groq, OpenRouter, DeepSeek, Gemini, or Mistral, what parts of the code usually need to change?",c6ff9083c0
"Are local model runners like Ollama, vLLM, or LM Studio okay for the course exercises, even if I don't want to use an external API?",c6ff9083c0
What should I do if the provider used in the course is blocked where I live or I can't get an API key?,c6ff9083c0
Is there a place in the course repo that lists OpenAI-compatible alternatives or local model options I can try?,c6ff9083c0
"In agentic RAG, what exactly counts as a tool or function the model can use?",c296ea5a21
"Should I treat tools and functions as different things in this course, or is the naming not important?",c296ea5a21
When would an LLM decide to call a tool instead of answering directly from its own context?,c296ea5a21
"Can a tool be something like a search, database query, API call, or even a calculation step?",c296ea5a21
How is the model’s use of tools in agentic RAG different from the fixed retrieval step in basic RAG?,c296ea5a21
"What are some free models that support tool use for development, like on Groq?",0d74a3616f
Can I use Deepseek R1 or Llama 4 with tools without paying anything?,0d74a3616f
Which other model providers support function calling besides OpenAI?,0d74a3616f
"Do Mistral, Gemini, or Ollama also work for tool use in agentic RAG?",0d74a3616f
"If I switch away from OpenAI, will I need to change my tool-calling code?",0d74a3616f
Why am I getting `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with Mistral or Groq?,9e7b3f0c25
"Can I use OpenAI's Responses API on Gemini, Mistral, or other non-OpenAI models, or is it only for OpenAI?",9e7b3f0c25
"If `response.output` doesn't work on my provider, what's the right way to read the model reply instead?",9e7b3f0c25
"For a non-OpenAI model, should I switch to `chat.completions` and use `response.choices[0].message.content`?",9e7b3f0c25
Do I need to change the tools schema too when moving from OpenAI Responses API to another provider's chat API?,9e7b3f0c25
"Why am I getting a 400 error in Azure OpenAI saying tools[0].function is missing, and how do I fix it?",b9c7c6bb34
What should the get_weather_tool JSON look like so Azure OpenAI accepts it?,b9c7c6bb34
Do I need a function wrapper inside the tool definition when using Azure OpenAI tools?,b9c7c6bb34
How should I format the weather tool schema to avoid the missing required parameter error?,b9c7c6bb34
Can you show the correct JSON for the weather tool in this agentic RAG example?,b9c7c6bb34
Why do I get a 404 in toyaikit when I point it at Groq or some other non-OpenAI API?,0224d980b3
What should I change in toyaikit if I want to use Groq with the chat.completions endpoint instead of OpenAI Responses?,0224d980b3
How can I run toyaikit with Anthropic/Claude instead of OpenAI without hitting the same error?,0224d980b3
"Is `runner.loop(prompt=...)` the right way to do a single call in toyaikit, and what do I get back from it?",0224d980b3
What model name should I use for Anthropic or Groq so I don’t get a 404 from an outdated model id?,0224d980b3
Where do I actually find the Module 1 homework questions for the 2026 cohort?,53f15299b6
Is the homework link in GitHub or only on the course platform?,53f15299b6
Do I need the GitHub repo to see the Module 1 homework instructions?,53f15299b6
"Besides submitting homework, what do I use the course platform for?",53f15299b6
Are there extra details for Module 1 homework that aren’t shown on the platform?,53f15299b6
Why do I get an empty list after filtering my query in Module 1 homework Q3?,83da208a64
Is it possible I messed up the indexing setup if my filter returns no results?,83da208a64
What should I check first when my search query keeps coming back empty after filtering?,83da208a64
Do I need to create the index settings before loading the data for the homework search task?,83da208a64
"If my query and filters are fine but I still get an empty list, could the problem be how I indexed the data?",83da208a64
"Why do I get OpenRouter APIStatusError 402 when I call responses.create(), and how do I stop it?",cfb07a27d5
Do I need to set max_output_tokens in responses.create() for the Module 1 homework?,cfb07a27d5
What should I change in rag_helper.py if OpenRouter rejects my request before the model runs?,cfb07a27d5
How can I fix the 402 error in ToyAIKit for homework Q6?,cfb07a27d5
"If I already set max_output_tokens and still get the error, what else should I check in my OpenRouter .env setup?",cfb07a27d5
"In the Module 1 homework, when people say RAG should point to the chunk index, does that mean the index is built from the split docs instead of the full ones?",b4300adeb1
"For the homework, should I call `fit` on `chunks` or on `documents` when setting up the search index?",b4300adeb1
What’s the difference between indexing the original records and indexing the chunks in this RAG task?,b4300adeb1
"When the pipeline searches for relevant text, is it supposed to pull whole documents or just the chunked pieces?",b4300adeb1
"Does using the chunk index mean only the matched chunks get added to the prompt, so less context is sent to the model?",b4300adeb1
"Do homework answers have to match the multiple-choice options exactly, or is being close enough?",5e4ca64cb5
"If my numeric homework result is a little off from the listed choices, which option should I pick?",5e4ca64cb5
Why might my homework answer differ slightly from the options in the quiz?,5e4ca64cb5
What should I check if my result is nowhere near any of the answer choices?,5e4ca64cb5
Are small differences in homework answers okay because of rounding or dataset/version changes?,5e4ca64cb5
Where exactly should I read the Module 1 homework instructions if the platform description is confusing?,7d3a2e3505
"If the homework task wording doesn't make sense, should I check the lesson page or the GitHub homework file first?",7d3a2e3505
"Does Module 1 homework usually reuse the same dataset from the lesson, or does it change the data and ask for the same idea in a new way?",7d3a2e3505
What should I do if I still can't figure out a homework question after reading the GitHub instructions?,7d3a2e3505
"When I ask for help in Slack about homework, should I paste code/output as text or is a screenshot okay?",7d3a2e3505
How should I count tokens for the Module 1 homework if I'm using a different LLM provider like Gemini or Mistral?,fe8fed31e6
Can I just use tiktoken or cl100k_base to estimate tokens for non-OpenAI models in Homework 1?,fe8fed31e6
Where do I find the token count in the response object when using an OpenAI-compatible API?,fe8fed31e6
What should I do if my provider doesn't return any token usage info at all?,fe8fed31e6
"For the multiple-choice homework, how do I answer if my token estimate doesn't match exactly?",fe8fed31e6
"Why does my homework repo link get rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to access it?,bcdb8740ce
"Is it okay to submit a repo URL with .git at the end, or should I use the plain GitHub link?",bcdb8740ce
How can I quickly verify that the homework URL is reachable before resubmitting?,bcdb8740ce
Could a small typo in the repo URL cause the checker to fail even if the project is correct?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people say they keep the meaning of the original data?",69430a79a8
How do embeddings turn text or other non-numeric stuff into numbers without losing the context?,69430a79a8
Why should similar inputs produce nearby vectors when using an embedding model?,69430a79a8
What does it mean when people talk about semantic similarity with embeddings and distance between vectors?,69430a79a8
Can embeddings be related to things like vector space models or dimensionality reduction?,69430a79a8
How do I get rid of the warning about `multi-qa-mpnet-base-dot-v1` being made on sentence-transformers v3 beta?,aa3f597424
Is there a way to suppress the message that says this model was built with sentence-transformers v3.0.0 beta?,aa3f597424
What should I install so the `multi-qa-mpnet-base-dot-v1` warning stops showing up?,aa3f597424
Do I need to upgrade sentence-transformers to fix the `multi-qa-mpnet-base-dot-v1` warning?,aa3f597424
What command can I run to silence the warning for `multi-qa-mpnet-base-dot-v1`?,aa3f597424
"Why did the lesson use `.dot(...)` for cosine similarity, but the homework says to normalize first?",92cd22cada
"Are the embeddings from the lesson already unit-length, so dot product works as cosine similarity?",92cd22cada
"With TF-IDF + SVD in the homework, does plain dot product fail to give cosine similarity unless I normalize?",92cd22cada
"When is dot product enough for similarity search, and when do I need vector normalization?",92cd22cada
Is normalization only needed because the homework uses classic embeddings instead of the model from the lesson?,92cd22cada
"For vector search, should I store embeddings from just the answer text, just the question, or both together?",5c4a8d2e60
"Is there a recommended way to build embeddings for the FAQ data, or do I need to test different options myself?",5c4a8d2e60
Why would embedding only the answer work if users are searching with questions?,5c4a8d2e60
"When does using question plus answer as one embedding make sense, and is it usually better?",5c4a8d2e60
"How should I decide which embedding setup is best for my dataset: question, answer, or both?",5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How is cosine similarity used to compare documents in text analysis?,db78580409
"What kind of vector values are usually used when computing cosine similarity, like word counts or TF-IDF?",db78580409
"What does it mean if cosine similarity is 1, 0, or -1?",db78580409
Why do people use cosine similarity instead of just comparing raw vector values?,db78580409
Why does cosine similarity turn into just a dot product when embeddings are normalized?,95feb4e75b
How can matrix multiplication be used to compute cosine similarity between a query and all document vectors?,95feb4e75b
"If the vectors are unit length, why do we not need to worry about their magnitude anymore?",95feb4e75b
What makes cosine similarity efficient for vector search when using normalized embeddings?,95feb4e75b
Why is the similarity between a query and embeddings the same as multiplying the embedding matrix by the query vector?,95feb4e75b
"For Module 2, do I have to make a brand new GitHub repository, or can I just spin up another Codespace from my current repo?",1e829a8c6f
Why does the course recommend using a separate Codespace for the vector search module instead of reusing the one from Module 1?,1e829a8c6f
"If I create a new Codespace for Module 2, will my work disappear when I stop or delete it, or should I commit everything first?",1e829a8c6f
"Does a Codespace count as a whole new project, or is it just another environment based on the same repository?",1e829a8c6f
"Is there any reason to keep the Module 2 setup isolated, or can I install the vector search dependencies in my existing Codespace?",1e829a8c6f
"Why does download.py stay at 0% while pulling model.onnx from HuggingFace, and what should I do instead?",29b69fbe0b
Is there a way to avoid the download.py hang when fetching the ONNX model from HuggingFace CDN?,29b69fbe0b
My model.onnx download never starts in download.py — can I grab it manually and place it somewhere specific?,29b69fbe0b
"What causes the HuggingFace model download to get stuck at 0%, and how can I make the script continue?",29b69fbe0b
"If I save model.onnx locally first, will download.py detect it and skip the download step?",29b69fbe0b
Why do the vector search scores from the matrix dot product and the loop version come out a little different?,e889793af9
"Is it normal that `np.allclose(scores, scores_loop)` can be `False` even when both methods do the same dot products?",e889793af9
What causes the tiny mismatch between `X.dot(v_query)` and computing the same thing with a Python for-loop?,e889793af9
Can I trust the vector search results if BLAS and a loop give slightly different values in the last decimals?,e889793af9
What should I use to compare the two vector search implementations without requiring an exact match?,e889793af9
Why is my Q2 cosine similarity from Module 2 homework not matching any of the listed answers?,eaa17a9dc6
"Do I need to use the `Embedder` from `embedder.py` for Homework 2, or can I use `sentence-transformers`?",eaa17a9dc6
Could the wrong embedding model be the reason my cosine score is way off in Q2?,eaa17a9dc6
"What exactly should I compare in Q2 — the page content, the filename, or the whole record?",eaa17a9dc6
"If my cosine similarity is a little different from the choices, should I still select the nearest option?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily API keys so Kestra can use them in the orchestration module?",3860e5fe8b
Why does Kestra want the secret variables to be base64 encoded and start with SECRET_?,3860e5fe8b
Do I need to export both GEMINI_API_KEY and SECRET_GEMINI_API_KEY before starting Kestra?,3860e5fe8b
How can I reference an API key inside a Kestra flow without putting the raw key in the YAML?,3860e5fe8b
"After changing the environment variables, do I need to restart Kestra for the new keys to take effect?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and how do I get it working?",04440cab11
Do I need to set a different Gemini environment variable for the Copilot than the one used by the flows?,04440cab11
"I already have a Gemini secret for my flows, so why is the Copilot still refusing to answer?",04440cab11
What should I export before running Kestra so the AI Copilot actually uses Gemini?,04440cab11
"Could this Copilot error be caused by a bad key or Gemini quota limit, and how can I check?",04440cab11
Why does my Kestra flow say the Gemini key is invalid even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a hidden newline or space in the base64 secret break Gemini auth in Kestra?,c8ca21af33
Do I need to restart Kestra after exporting a new API key secret?,c8ca21af33
"When using a Kestra secret, should I call it with SECRET_GEMINI_API_KEY or just GEMINI_API_KEY in the flow?",c8ca21af33
Is there a better way to pass Gemini and other keys to Kestra than exporting them in the shell?,c8ca21af33
Why do we need an orchestrator like Kestra if I can already run the code in a notebook?,193612db63
What is the point of using Kestra instead of just a one-off script for AI workflows?,193612db63
"Besides executing tasks, what extra things does orchestration handle in a real AI pipeline?",193612db63
"In this module, why is Kestra used for teaching AI Copilot, RAG, and agents instead of only notebook examples?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers in a Kestra flow without rewriting the rest of it?",193612db63
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How do I make the model return only valid JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What should I change in my OpenAI call so `json.loads(response.choices[0].message.content)` works reliably?,a3c7e1b4f9
How do I prompt the LLM to output exactly a JSON object with a `questions` field and 5 strings?,a3c7e1b4f9
"Is there a provider-specific way to force JSON output, like with Gemini or Groq, so parsing doesn't break?",a3c7e1b4f9
Why does my Jupyter notebook/kernel crash when I try to embed the ground-truth set in the eval notebook?,b8f2d6a30c
What can I do if embedding the ground truth eats up too much RAM on Codespaces or a small laptop?,b8f2d6a30c
"Is there a smaller embedding model I can use for the evaluation, and will that affect my scores?",b8f2d6a30c
"Can I run the embedding part outside the notebook to avoid memory issues, and how would that help?",b8f2d6a30c
What’s the best way to handle ground-truth embeddings if I want to keep the notebook from running out of memory?,b8f2d6a30c
Why am I still getting rate-limit errors with Gemini even after adding a 4-second sleep between requests?,c1e9f4b820
What can I use instead of free-tier Gemini if I keep hitting request limits while building the ground-truth data?,c1e9f4b820
How can I avoid blowing through the daily quota when running a long tqdm loop for dataset generation?,c1e9f4b820
What should I do in my thread-pool code if I want fewer API limit problems while generating labels?,c1e9f4b820
"If my run gets stopped by a rate limit, what's the easiest way to continue without losing everything I already generated?",c1e9f4b820
How do I fix the Windows error saying it can’t load fbgemm.dll from PyTorch?,15e931476c
I’m getting WinError 126 on Windows with torch\lib\fbgemm.dll — what should I install?,15e931476c
Does this PyTorch DLL missing error on Windows mean I need Visual C++ Redistributable?,15e931476c
Should I install Visual Studio or Visual Studio Code to solve the fbgemm.dll dependency issue?,15e931476c
"What’s the quickest way to fix the ""specified module could not be found"" error when importing PyTorch on Windows?",15e931476c
"I'm getting `could not translate host name ""postgres"" to address` when I run `python prep.py`. What should I change to fix the PostgreSQL connection?",4b65d5542d
"Why does `psycopg2.OperationalError` say the host `postgres` doesn't exist, and how do I update my config so the script works?",4b65d5542d
"When I start `prep.py`, it fails with a PostgreSQL host lookup error. Do I need to set `POSTGRES_HOST` to something else?",4b65d5542d
How can I solve the `OperationalError` about `postgres` not being a valid host name in my `.env` file?,4b65d5542d
My setup says `No such host is known` for `postgres`. What is the correct value for `POSTGRES_HOST`?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off in the output?,641aedbbf5
Is there a way to stop Pandas from truncating long strings in a DataFrame column?,641aedbbf5
What setting do I need to change to see the entire Explanation column in the offline-rag-evaluation notebook?,641aedbbf5
"Why does Pandas only show part of my text column, and how do I display the whole thing?",641aedbbf5
